,Unnamed: 0,Unnamed: 0.1,Club,Name,Età,Nationality,Posizione,Pos,MarketValue,ClubInvolved,CountryInvolved,Costo,Movement,Season,Window,League,Profile,new_col
12511,12511,23846,Athletic Bilbao,Gaizka Toquero,30,Spagna,Ala destra,AD,500 mila €,Deportivo Alavés,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/gaizka-toquero/profil/spieler/71840,"Athletic Bilbao,Deportivo Alavés"
12512,12512,23847,Athletic Bilbao,Iñigo Ruiz de Galarreta,22,Spagna,Centrale,CC,500 mila €,CD Numancia,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/inigo-ruiz-de-galarreta/profil/spieler/126751,"Athletic Bilbao,CD Numancia"
12513,12513,23848,Athletic Bilbao,Kepa,20,Spagna,Portiere,POR,"1,00 mln €",Real Valladolid CF,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/kepa/profil/spieler/192279,"Athletic Bilbao,Real Valladolid CF"
12514,12514,23849,Athletic Bilbao,Unai Bustinza,23,Spagna,Difensore centrale,DC,500 mila €,CD Leganés,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/unai-bustinza/profil/spieler/156808,"Athletic Bilbao,CD Leganés"
12515,12515,23850,Athletic Bilbao,Erik Morán,24,Spagna,Mediano,M,900 mila €,Real Saragozza,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/erik-moran/profil/spieler/67542,"Athletic Bilbao,Real Saragozza"
12516,12516,23851,Athletic Bilbao,Iñigo Ruiz de Galarreta,22,Spagna,Centrale,CC,800 mila €,CD Leganés,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/inigo-ruiz-de-galarreta/profil/spieler/126751,"Athletic Bilbao,CD Leganés"
12517,12517,23852,Athletic Bilbao,Guillermo Fernández,22,Spagna,Punta centrale,P,"1,00 mln €",CD Leganés,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/guillermo-fernandez/profil/spieler/142023,"Athletic Bilbao,CD Leganés"
12518,12518,23853,Athletic Bilbao,Jon Aurtenetxe,23,Spagna,Difensore centrale,DC,"1,50 mln €",CD Tenerife,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/jon-aurtenetxe/profil/spieler/89726,"Athletic Bilbao,CD Tenerife"
12524,12524,23859,Celta de Vigo,Santi Mina,19,Spagna,Punta centrale,P,"4,00 mln €",Valencia CF,Spagna,"10,00 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/santi-mina/profil/spieler/255653,"Celta de Vigo,Valencia CF"
12525,12525,23860,Celta de Vigo,Augusto Fernández,29,Argentina,Centrale,CC,"6,00 mln €",Atlético de Madrid,Spagna,"4,00 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/augusto-fernandez/profil/spieler/39151,"Celta de Vigo,Atlético de Madrid"
12526,12526,23861,Celta de Vigo,Yoel Rodríguez,26,Spagna,Portiere,POR,"2,50 mln €",Valencia CF,Spagna,"2,00 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/yoel-rodriguez/profil/spieler/58115,"Celta de Vigo,Valencia CF"
12528,12528,23863,Celta de Vigo,Charles,31,Brasile,Punta centrale,P,"2,00 mln €",Málaga CF,Spagna,500 mila €,Out,2010-20,e,laliga,https://www.transfermarkt.it/charles/profil/spieler/154059,"Celta de Vigo,Málaga CF"
12529,12529,23864,Celta de Vigo,Michael Krohn-Dehli,32,Danimarca,Centrale,CC,"3,00 mln €",Sevilla FC,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/michael-krohn-dehli/profil/spieler/18006,"Celta de Vigo,Sevilla FC"
12530,12530,23865,Celta de Vigo,Samuel Llorca,30,Spagna,Difensore centrale,DC,800 mila €,Real Valladolid CF,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/samuel-llorca/profil/spieler/57941,"Celta de Vigo,Real Valladolid CF"
12531,12531,23866,Celta de Vigo,Levy Madinda,23,Gabon,Trequartista,TQ,"1,00 mln €",Gimnàstic de Tarragona,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/levy-madinda/profil/spieler/21297,"Celta de Vigo,Gimnàstic de Tarragona"
12532,12532,23867,Celta de Vigo,Yelko Pino,19,Spagna,Trequartista,TQ,-,Queens Park Rangers,Inghilterra,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/yelko-pino/profil/spieler/217153,"Celta de Vigo,Queens Park Rangers"
12533,12533,23868,Celta de Vigo,Álex López,27,Spagna,Centrale,CC,"2,50 mln €",Sheffield Wednesday,Inghilterra,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/alex-lopez/profil/spieler/127457,"Celta de Vigo,Sheffield Wednesday"
12534,12534,23869,Celta de Vigo,David Costas,20,Spagna,Difensore centrale,DC,"1,00 mln €",RCD Mallorca,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/david-costas/profil/spieler/276111,"Celta de Vigo,RCD Mallorca"
12536,12536,23871,Málaga CF,Sergi Darder,21,Spagna,Centrale,CC,"7,50 mln €",Olympique Lione,Francia,"13,10 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/sergi-darder/profil/spieler/142021,"Málaga CF,Olympique Lione"
12537,12537,23872,Málaga CF,Nordin Amrabat,28,Marocco,Ala destra,AD,"6,00 mln €",FC Watford,Inghilterra,"8,40 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/nordin-amrabat/profil/spieler/55619,"Málaga CF,FC Watford"
12538,12538,23873,Málaga CF,Samu García,24,Spagna,Ala destra,AD,"4,00 mln €",Villarreal CF,Spagna,"8,00 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/samu-garcia/profil/spieler/208890,"Málaga CF,Villarreal CF"
12539,12539,23874,Málaga CF,Samu Castillejo,20,Spagna,Ala destra,AD,"3,00 mln €",Villarreal CF,Spagna,"8,00 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/samu-castillejo/profil/spieler/195171,"Málaga CF,Villarreal CF"
12540,12540,23875,Málaga CF,Juanmi,22,Spagna,Ala destra,AD,"6,00 mln €",FC Southampton,Inghilterra,"7,00 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/juanmi/profil/spieler/126737,"Málaga CF,FC Southampton"
12542,12542,23877,Málaga CF,Francisco Portillo,25,Spagna,Ala destra,AD,"1,50 mln €",Real Betis Balompié,Spagna,"1,00 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/francisco-portillo/profil/spieler/138803,"Málaga CF,Real Betis Balompié"
12545,12545,23880,Málaga CF,Bobley Anderson,23,Costa d'Avorio,Trequartista,TQ,400 mila €,LB Châteauroux,Francia,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/bobley-anderson/profil/spieler/221076,"Málaga CF,LB Châteauroux"
12546,12546,23881,Málaga CF,Fábio Espinho,30,Portogallo,Trequartista,TQ,"1,50 mln €",Moreirense FC,Portogallo,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/fabio-espinho/profil/spieler/114130,"Málaga CF,Moreirense FC"
12553,12553,23888,Málaga CF,Luis Alberto,22,Spagna,Trequartista,TQ,"3,50 mln €",FC Liverpool,Inghilterra,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/luis-alberto/profil/spieler/128220,"Málaga CF,FC Liverpool"
12555,12555,23890,Málaga CF,Javi Guerra,33,Spagna,Punta centrale,P,"2,50 mln €",Cardiff City,Inghilterra,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/javi-guerra/profil/spieler/46215,"Málaga CF,Cardiff City"
12556,12556,23891,RCD Espanyol Barcellona,Kiko Casilla,28,Spagna,Portiere,POR,"7,50 mln €",Real Madrid CF,Spagna,"6,00 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/kiko-casilla/profil/spieler/27486,"RCD Espanyol Barcellona,Real Madrid CF"
12558,12558,23893,RCD Espanyol Barcellona,Cristhian Stuani,28,Uruguay,Punta centrale,P,"4,00 mln €",FC Middlesbrough,Inghilterra,"3,00 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/cristhian-stuani/profil/spieler/59323,"RCD Espanyol Barcellona,FC Middlesbrough"
12560,12560,23895,RCD Espanyol Barcellona,Lucas Vázquez,24,Spagna,Ala destra,AD,"5,00 mln €",Real Madrid CF,Spagna,"1,00 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/lucas-vazquez/profil/spieler/221316,"RCD Espanyol Barcellona,Real Madrid CF"
12561,12561,23896,RCD Espanyol Barcellona,Thievy Bifouma,23,Congo,Ala destra,AD,"2,50 mln €",Granada CF,Spagna,Spesa prestito:200 mila €,Out,2010-20,e,laliga,https://www.transfermarkt.it/thievy-bifouma/profil/spieler/181477,"RCD Espanyol Barcellona,Granada CF"
12562,12562,23897,RCD Espanyol Barcellona,Thievy Bifouma,23,Congo,Ala destra,AD,"2,50 mln €",Stade Reims,Francia,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/thievy-bifouma/profil/spieler/181477,"RCD Espanyol Barcellona,Stade Reims"
12564,12564,23899,RCD Espanyol Barcellona,Sergio Tejera,25,Spagna,Centrale,CC,300 mila €,Gimnàstic de Tarragona,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/sergio-tejera/profil/spieler/38817,"RCD Espanyol Barcellona,Gimnàstic de Tarragona"
12567,12567,23902,RCD Espanyol Barcellona,Carlos Clerc,23,Spagna,Terzino sinistro,TS,400 mila €,Girona FC,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/carlos-clerc/profil/spieler/193784,"RCD Espanyol Barcellona,Girona FC"
12568,12568,23903,RCD Espanyol Barcellona,Álex Fernández,22,Spagna,Trequartista,TQ,800 mila €,FC Reading,Inghilterra,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/alex-fernandez/profil/spieler/89733,"RCD Espanyol Barcellona,FC Reading"
12569,12569,23904,RCD Espanyol Barcellona,Germán Parreño,22,Spagna,Portiere,POR,200 mila €,Girona FC,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/german-parreno/profil/spieler/126746,"RCD Espanyol Barcellona,Girona FC"
12573,12573,23908,RCD Espanyol Barcellona,Francesco Bardi,24,Italia,Portiere,POR,"5,00 mln €",Inter,Italia,Fine prestito27/gen/2016,Out,2010-20,e,laliga,https://www.transfermarkt.it/francesco-bardi/profil/spieler/110925,"RCD Espanyol Barcellona,Inter"
12575,12575,23910,Rayo Vallecano,Alberto Bueno,27,Spagna,Seconda punta,SP,"6,00 mln €",FC Porto,Portogallo,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/alberto-bueno/profil/spieler/45335,"Rayo Vallecano,FC Porto"
12576,12576,23911,Rayo Vallecano,Jorge Morcillo,29,Spagna,Difensore centrale,DC,700 mila €,UD Almería,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/jorge-morcillo/profil/spieler/65239,"Rayo Vallecano,UD Almería"
12578,12578,23913,Rayo Vallecano,Diego Aguirre,24,Spagna,Ala sinistra,AS,500 mila €,Real Oviedo,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/diego-aguirre/profil/spieler/278345,"Rayo Vallecano,Real Oviedo"
12580,12580,23915,Rayo Vallecano,Lass Bangoura,23,Guinea,Ala destra,AD,"1,80 mln €",Stade Reims,Francia,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/lass-bangoura/profil/spieler/182963,"Rayo Vallecano,Stade Reims"
12581,12581,23916,Rayo Vallecano,Álex Moreno,22,Spagna,Terzino sinistro,TS,800 mila €,Elche CF,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/alex-moreno/profil/spieler/193098,"Rayo Vallecano,Elche CF"
12583,12583,23918,Rayo Vallecano,Luis Fariña,24,Argentina,Trequartista,TQ,"2,00 mln €",Benfica Lisbona,Portogallo,Fine prestito19/gen/2016,Out,2010-20,e,laliga,https://www.transfermarkt.it/luis-farina/profil/spieler/125735,"Rayo Vallecano,Benfica Lisbona"
12584,12584,23919,Rayo Vallecano,Gaël Kakuta,24,RD del Congo,Trequartista,TQ,"3,50 mln €",Chelsea FC,Inghilterra,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/gael-kakuta/profil/spieler/74297,"Rayo Vallecano,Chelsea FC"
12585,12585,23920,Rayo Vallecano,Licá,26,Portogallo,Ala sinistra,AS,"2,50 mln €",FC Porto,Portogallo,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/lica/profil/spieler/51058,"Rayo Vallecano,FC Porto"
12586,12586,23921,Rayo Vallecano,Javier Aquino,25,Messico,Ala sinistra,AS,"3,00 mln €",Villarreal CF,Spagna,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/javier-aquino/profil/spieler/111082,"Rayo Vallecano,Villarreal CF"
12587,12587,23922,Rayo Vallecano,Abdoulaye Ba,24,Senegal,Difensore centrale,DC,"2,50 mln €",FC Porto,Portogallo,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/abdoulaye-ba/profil/spieler/106837,"Rayo Vallecano,FC Porto"
12589,12589,23924,Rayo Vallecano,Leo Baptistão,22,Brasile,Ala destra,AD,"5,00 mln €",Atlético de Madrid,Spagna,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/leo-baptistao/profil/spieler/221899,"Rayo Vallecano,Atlético de Madrid"
12590,12590,23925,Rayo Vallecano,Mohammed Fatau,22,Ghana,Mediano,M,200 mila €,Granada CF,Spagna,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/mohammed-fatau/profil/spieler/247189,"Rayo Vallecano,Granada CF"
12591,12591,23926,Rayo Vallecano,Emiliano Insúa,26,Argentina,Terzino sinistro,TS,"4,00 mln €",Atlético de Madrid,Spagna,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/emiliano-insua/profil/spieler/45599,"Rayo Vallecano,Atlético de Madrid"
12593,12593,23928,Real Sociedad,Chory Castro,31,Uruguay,Ala sinistra,AS,"4,00 mln €",Málaga CF,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/chory-castro/profil/spieler/28171,"Real Sociedad,Málaga CF"
12594,12594,23929,Real Sociedad,Ion Ansotegi,33,Spagna,Difensore centrale,DC,"1,00 mln €",SD Eibar,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/ion-ansotegi/profil/spieler/37892,"Real Sociedad,SD Eibar"
12595,12595,23930,Real Sociedad,Dani Estrada,28,Spagna,Terzino destro,TD,800 mila €,Deportivo Alavés,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/dani-estrada/profil/spieler/47648,"Real Sociedad,Deportivo Alavés"
12597,12597,23932,Real Sociedad,Gorka Elustondo,28,Spagna,Centrale,CC,"2,00 mln €",Athletic Bilbao,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/gorka-elustondo/profil/spieler/47647,"Real Sociedad,Athletic Bilbao"
12600,12600,23935,Real Sociedad,Alfred Finnbogason,27,Islanda,Punta centrale,P,"4,00 mln €",FC Augusta,Germania,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/alfred-finnbogason/profil/spieler/90024,"Real Sociedad,FC Augusta"
12601,12601,23936,Real Sociedad,Ion Gaztañaga,24,Spagna,Mediano,M,600 mila €,CD Numancia,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/ion-gaztanaga/profil/spieler/66110,"Real Sociedad,CD Numancia"
12602,12602,23937,Real Sociedad,Pablo Hervías,22,Spagna,Ala destra,AD,500 mila €,Real Oviedo,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/pablo-hervias/profil/spieler/142027,"Real Sociedad,Real Oviedo"
12603,12603,23938,Real Sociedad,David Concha,18,Spagna,Ala destra,AD,"1,00 mln €",CD Numancia,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/david-concha/profil/spieler/304250,"Real Sociedad,CD Numancia"
12606,12606,23941,Levante UD,Jesús Fernández,27,Spagna,Portiere,POR,"1,00 mln €",Granada CF,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/jesus-fernandez/profil/spieler/91885,"Levante UD,Granada CF"
12607,12607,23942,Levante UD,Nikolaos Karabelas,31,Grecia,Terzino sinistro,TS,500 mila €,Real Valladolid CF,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/nikolaos-karabelas/profil/spieler/42935,"Levante UD,Real Valladolid CF"
12611,12611,23946,Levante UD,Iván Ramis,30,Spagna,Difensore centrale,DC,"2,00 mln €",SD Eibar,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/ivan-ramis/profil/spieler/26066,"Levante UD,SD Eibar"
12612,12612,23947,Levante UD,Pape Diop,29,Senegal,Mediano,M,"2,50 mln €",RCD Espanyol Barcellona,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/pape-diop/profil/spieler/39907,"Levante UD,RCD Espanyol Barcellona"
12614,12614,23949,Levante UD,Javi Jiménez,28,Spagna,Portiere,POR,800 mila €,Elche CF,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/javi-jimenez/profil/spieler/69611,"Levante UD,Elche CF"
12615,12615,23950,Levante UD,Rafael Martins,26,Brasile,Punta centrale,P,"1,00 mln €",Moreirense FC,Portogallo,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/rafael-martins/profil/spieler/99499,"Levante UD,Moreirense FC"
12616,12616,23951,Levante UD,Nabil El Zhar,28,Marocco,Ala destra,AD,"1,50 mln €",UD Las Palmas,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/nabil-el-zhar/profil/spieler/37917,"Levante UD,UD Las Palmas"
12617,12617,23952,Levante UD,Jason,21,Spagna,Ala destra,AD,200 mila €,Albacete Balompié,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/jason/profil/spieler/263860,"Levante UD,Albacete Balompié"
12619,12619,23954,Levante UD,Roger Martí,25,Spagna,Punta centrale,P,"1,50 mln €",Real Valladolid CF,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/roger-marti/profil/spieler/212391,"Levante UD,Real Valladolid CF"
12620,12620,23955,Levante UD,Diego Mariño,25,Spagna,Portiere,POR,"2,50 mln €",Real Valladolid CF,Spagna,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/diego-marino/profil/spieler/59349,"Levante UD,Real Valladolid CF"
12621,12621,23956,Getafe CF,Sergio Escudero,25,Spagna,Terzino sinistro,TS,"3,00 mln €",Sevilla FC,Spagna,"3,00 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/sergio-escudero/profil/spieler/93935,"Getafe CF,Sevilla FC"
12631,12631,23966,Getafe CF,Naldo,26,Brasile,Difensore centrale,DC,"1,50 mln €",Udinese Calcio,Italia,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/naldo/profil/spieler/148666,"Getafe CF,Udinese Calcio"
12632,12632,23967,Getafe CF,Baba Diawara,27,Senegal,Punta centrale,P,"1,00 mln €",Sevilla FC,Spagna,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/baba-diawara/profil/spieler/69819,"Getafe CF,Sevilla FC"
12635,12635,23970,Deportivo de La Coruña,Toché,32,Spagna,Punta centrale,P,"1,00 mln €",Real Oviedo,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/toche/profil/spieler/22586,"Deportivo de La Coruña,Real Oviedo"
12636,12636,23971,Deportivo de La Coruña,Cezary Wilk,29,Polonia,Mediano,M,"1,00 mln €",Real Saragozza,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/cezary-wilk/profil/spieler/35448,"Deportivo de La Coruña,Real Saragozza"
12639,12639,23974,Deportivo de La Coruña,Saúl García,21,Spagna,Terzino sinistro,TS,500 mila €,CD Tenerife,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/saul-garcia/profil/spieler/249471,"Deportivo de La Coruña,CD Tenerife"
12640,12640,23975,Deportivo de La Coruña,Luis Fernández,21,Spagna,Punta centrale,P,500 mila €,SD Huesca,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/luis-fernandez/profil/spieler/230212,"Deportivo de La Coruña,SD Huesca"
12641,12641,23976,Deportivo de La Coruña,Pablo Insua,21,Spagna,Difensore centrale,DC,"3,00 mln €",CD Leganés,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/pablo-insua/profil/spieler/171362,"Deportivo de La Coruña,CD Leganés"
12642,12642,23977,Deportivo de La Coruña,Roberto Canella,27,Spagna,Terzino sinistro,TS,"2,00 mln €",Sporting de Gijón,Spagna,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/roberto-canella/profil/spieler/57785,"Deportivo de La Coruña,Sporting de Gijón"
12644,12644,23979,Deportivo de La Coruña,Luis Fariña,24,Argentina,Trequartista,TQ,"2,00 mln €",Benfica Lisbona,Portogallo,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/luis-farina/profil/spieler/125735,"Deportivo de La Coruña,Benfica Lisbona"
12646,12646,23981,Deportivo de La Coruña,Ivan Cavaleiro,21,Portogallo,Ala destra,AD,"3,50 mln €",Benfica Lisbona,Portogallo,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/ivan-cavaleiro/profil/spieler/149716,"Deportivo de La Coruña,Benfica Lisbona"
12647,12647,23982,Deportivo de La Coruña,Sidnei,25,Brasile,Difensore centrale,DC,"2,00 mln €",Benfica Lisbona,Portogallo,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/sidnei/profil/spieler/27374,"Deportivo de La Coruña,Benfica Lisbona"
12648,12648,23983,Deportivo de La Coruña,Oriol Riera,28,Spagna,Punta centrale,P,"2,50 mln €",Wigan Athletic,Inghilterra,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/oriol-riera/profil/spieler/71671,"Deportivo de La Coruña,Wigan Athletic"
12651,12651,23986,Deportivo de La Coruña,Borja López,21,Spagna,Difensore centrale,DC,"1,00 mln €",AS Monaco,Francia,Fine prestito30/giu/2015,Out,2010-20,e,laliga,https://www.transfermarkt.it/borja-lopez/profil/spieler/214770,"Deportivo de La Coruña,AS Monaco"
12653,12653,23988,Granada CF,Jeison Murillo,23,Colombia,Difensore centrale,DC,"8,00 mln €",Inter,Italia,"8,00 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/jeison-murillo/profil/spieler/131102,"Granada CF,Inter"
12654,12654,23989,Granada CF,Gaspar Iñíguez,21,Argentina,Centrale,CC,"1,20 mln €",Udinese Calcio,Italia,"1,20 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/gaspar-iniguez/profil/spieler/189432,"Granada CF,Udinese Calcio"
12655,12655,23990,Granada CF,Alfredo Ortuño,24,Spagna,Punta centrale,P,800 mila €,UD Las Palmas,Spagna,"1,00 mln €",Out,2010-20,e,laliga,https://www.transfermarkt.it/alfredo-ortuno/profil/spieler/96540,"Granada CF,UD Las Palmas"
12656,12656,23991,Granada CF,Jhon Córdoba,22,Colombia,Punta centrale,P,"2,00 mln €",1.FSV Magonza 05,Germania,Spesa prestito:600 mila €,Out,2010-20,e,laliga,https://www.transfermarkt.it/jhon-cordoba/profil/spieler/185245,"Granada CF,1.FSV Magonza 05"
12657,12657,23992,Granada CF,Jona,26,Honduras,Punta centrale,P,500 mila €,Albacete Balompié,Spagna,370 mila €,Out,2010-20,e,laliga,https://www.transfermarkt.it/jona/profil/spieler/93047,"Granada CF,Albacete Balompié"
12658,12658,23993,Granada CF,Emanuel Insúa,24,Argentina,Terzino sinistro,TS,"2,00 mln €",Udinese Calcio,Italia,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/emanuel-insua/profil/spieler/226006,"Granada CF,Udinese Calcio"
12661,12661,23996,Granada CF,Manuel Iturra,31,Cile,Mediano,M,"4,00 mln €",Udinese Calcio,Italia,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/manuel-iturra/profil/spieler/40428,"Granada CF,Udinese Calcio"
12662,12662,23997,Granada CF,Borja Gómez,27,Spagna,Difensore centrale,DC,500 mila €,Real Oviedo,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/borja-gomez/profil/spieler/65060,"Granada CF,Real Oviedo"
12663,12663,23998,Granada CF,Luís Martins,23,Portogallo,Terzino sinistro,TS,600 mila €,CA Osasuna,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/luis-martins/profil/spieler/187896,"Granada CF,CA Osasuna"
12664,12664,23999,Granada CF,Oier Olazábal,25,Spagna,Portiere,POR,"1,00 mln €",Real Sociedad,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/oier-olazabal/profil/spieler/8176,"Granada CF,Real Sociedad"
12668,12668,24003,Granada CF,Juan Cala,25,Spagna,Difensore centrale,DC,800 mila €,Getafe CF,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/juan-cala/profil/spieler/67089,"Granada CF,Getafe CF"
12669,12669,24004,Granada CF,Piti,34,Spagna,Trequartista,TQ,"1,00 mln €",Rayo Vallecano,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/piti/profil/spieler/58076,"Granada CF,Rayo Vallecano"
12670,12670,24005,Granada CF,Yrondu Musavu-King,24,Gabon,Difensore centrale,DC,800 mila €,FC Lorient,Francia,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/yrondu-musavu-king/profil/spieler/170994,"Granada CF,FC Lorient"
12671,12671,24006,Granada CF,Miguel García,24,Spagna,Terzino sinistro,TS,-,Racing Santander,Spagna,gratuito,Out,2010-20,e,laliga,https://www.transfermarkt.it/miguel-garcia/profil/spieler/226262,"Granada CF,Racing Santander"
12672,12672,24007,Granada CF,Gaspar Iñíguez,21,Argentina,Centrale,CC,"1,40 mln €",Carpi FC 1909,Italia,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/gaspar-iniguez/profil/spieler/189432,"Granada CF,Carpi FC 1909"
12673,12673,24008,Granada CF,Mohammed Fatau,22,Ghana,Mediano,M,500 mila €,UD Almería,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/mohammed-fatau/profil/spieler/247189,"Granada CF,UD Almería"
12675,12675,24010,Granada CF,Darwin Machís,22,Venezuela,Ala sinistra,AS,-,SD Huesca,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/darwin-machis/profil/spieler/211251,"Granada CF,SD Huesca"
12676,12676,24011,Granada CF,Álvaro García,22,Spagna,Ala sinistra,AS,-,Cádiz CF,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/alvaro-garcia/profil/spieler/257062,"Granada CF,Cádiz CF"
12678,12678,24013,Granada CF,Juanpe,24,Spagna,Difensore centrale,DC,600 mila €,Real Valladolid CF,Spagna,Prestito,Out,2010-20,e,laliga,https://www.transfermarkt.it/juanpe/profil/spieler/115333,"Granada CF,Real Valladolid CF"
