,Unnamed: 0,Unnamed: 0.1,Club,Name,Età,Nationality,Posizione,Pos,MarketValue,ClubInvolved,CountryInvolved,Costo,Movement,Season,Window,League,Profile,new_col
8068,8068,6089,Real Madrid CF,Fernando Sanz,25,Spagna,Difensore centrale,DC,-,Málaga CF,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/fernando-sanz/profil/spieler/7774,"Real Madrid CF,Málaga CF"
8069,8069,6090,Real Madrid CF,Javi Jiménez,23,Spagna,Mediano,M,-,Getafe CF,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/javi-jimenez/profil/spieler/7815,"Real Madrid CF,Getafe CF"
8070,8070,6091,Real Madrid CF,Tote,20,Spagna,Trequartista,TQ,-,Benfica Lisbona,Portogallo,Prestito,Out,1990-99,e,laliga,https://www.transfermarkt.it/tote/profil/spieler/7535,"Real Madrid CF,Benfica Lisbona"
8071,8071,6092,Real Madrid CF,Robert Jarni,30,Croazia,Terzino sinistro,TS,-,UD Las Palmas,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/robert-jarni/profil/spieler/29556,"Real Madrid CF,UD Las Palmas"
8072,8072,6093,Real Madrid CF,Pedro Contreras,27,Spagna,Portiere,POR,-,Málaga CF,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/pedro-contreras/profil/spieler/7771,"Real Madrid CF,Málaga CF"
8073,8073,6094,Real Madrid CF,Manuel Canabal,24,Spagna,Punta centrale,P,-,Rayo Vallecano,Spagna,Prestito,Out,1990-99,e,laliga,https://www.transfermarkt.it/manuel-canabal/profil/spieler/7791,"Real Madrid CF,Rayo Vallecano"
8074,8074,6095,Real Madrid CF,Rodrigo Fabri,23,Brasile,Trequartista,TQ,-,Real Valladolid CF,Spagna,Prestito,Out,1990-99,e,laliga,https://www.transfermarkt.it/rodrigo-fabri/profil/spieler/7352,"Real Madrid CF,Real Valladolid CF"
8075,8075,6096,Real Madrid CF,Edwin Congo,22,Colombia,Punta centrale,P,-,Real Valladolid CF,Spagna,Prestito,Out,1990-99,e,laliga,https://www.transfermarkt.it/edwin-congo/profil/spieler/23189,"Real Madrid CF,Real Valladolid CF"
8076,8076,6097,Deportivo Alavés,Alberto Belsué,31,Spagna,Terzino destro,TD,-,CD Numancia,Spagna,gratuito,Out,1990-99,e,laliga,https://www.transfermarkt.it/alberto-belsue/profil/spieler/104031,"Deportivo Alavés,CD Numancia"
8078,8078,6099,Deportivo Alavés,Alfonso Vera,25,Spagna,Centrocampo,Centrocampo,-,CA Osasuna,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/alfonso-vera/profil/spieler/7703,"Deportivo Alavés,CA Osasuna"
8079,8079,6100,Deportivo Alavés,Iñaki Berruet,26,Spagna,Difensore centrale,DC,-,Villarreal CF,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/inaki-berruet/profil/spieler/71755,"Deportivo Alavés,Villarreal CF"
8080,8080,6101,Deportivo Alavés,Sívori,22,Spagna,Punta centrale,P,-,Athletic Bilbao,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/sivori/profil/spieler/71438,"Deportivo Alavés,Athletic Bilbao"
8081,8081,6102,Deportivo Alavés,Tito,29,Spagna,Portiere,POR,-,CD Leganés,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/tito/profil/spieler/253963,"Deportivo Alavés,CD Leganés"
8082,8082,6103,Deportivo Alavés,Iván Rocha,30,Brasile,Terzino sinistro,TS,-,CD Numancia,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/ivan-rocha/profil/spieler/253985,"Deportivo Alavés,CD Numancia"
8084,8084,6105,Deportivo Alavés,Gerard López,20,Spagna,Centrale,CC,-,Valencia CF,Spagna,Fine prestito30/giu/1999,Out,1990-99,e,laliga,https://www.transfermarkt.it/gerard-lopez/profil/spieler/7599,"Deportivo Alavés,Valencia CF"
8086,8086,6107,Deportivo Alavés,Manuel Canabal,24,Spagna,Punta centrale,P,-,Real Madrid CF,Spagna,Fine prestito30/giu/1999,Out,1990-99,e,laliga,https://www.transfermarkt.it/manuel-canabal/profil/spieler/7791,"Deportivo Alavés,Real Madrid CF"
8087,8087,6108,Celta de Vigo,Míchel Salgado,23,Spagna,Terzino destro,TD,-,Real Madrid CF,Spagna,"6,00 mln €",Out,1990-99,e,laliga,https://www.transfermarkt.it/michel-salgado/profil/spieler/7515,"Celta de Vigo,Real Madrid CF"
8088,8088,6109,Celta de Vigo,Juan Sánchez,27,Spagna,Punta centrale,P,-,Valencia CF,Spagna,800 mila €,Out,1990-99,e,laliga,https://www.transfermarkt.it/juan-sanchez/profil/spieler/7585,"Celta de Vigo,Valencia CF"
8089,8089,6110,Celta de Vigo,Dan Eggen,29,Norvegia,Difensore centrale,DC,-,Deportivo Alavés,Spagna,gratuito,Out,1990-99,e,laliga,https://www.transfermarkt.it/dan-eggen/profil/spieler/6819,"Celta de Vigo,Deportivo Alavés"
8090,8090,6111,Celta de Vigo,Pablo Couñago,19,Spagna,Punta centrale,P,-,Recreativo Huelva,Spagna,Prestito,Out,1990-99,e,laliga,https://www.transfermarkt.it/pablo-counago/profil/spieler/13242,"Celta de Vigo,Recreativo Huelva"
8092,8092,6113,Celta de Vigo,Fran Caínzos,26,Spagna,Terzino sinistro,TS,-,UD Salamanca,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/fran-cainzos/profil/spieler/253194,"Celta de Vigo,UD Salamanca"
8094,8094,6115,Celta de Vigo,Bruno Caires,23,Portogallo,Mediano,M,-,CD Tenerife,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/bruno-caires/profil/spieler/159940,"Celta de Vigo,CD Tenerife"
8095,8095,6116,Celta de Vigo,Josema,30,Spagna,Terzino destro,TD,-,CA Osasuna,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/josema/profil/spieler/187834,"Celta de Vigo,CA Osasuna"
8096,8096,6117,Celta de Vigo,Vladimir Gudelj,32,Bosnia-Erzegovina,Attacco,Attacco,-,SD Compostela,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/vladimir-gudelj/profil/spieler/253546,"Celta de Vigo,SD Compostela"
8097,8097,6118,Celta de Vigo,Djamel Belmadi,23,Algeria,Centrocampista di destra,CD,-,Olympique Marsiglia,Francia,Fine prestito31/dic/1999,Out,1990-99,e,laliga,https://www.transfermarkt.it/djamel-belmadi/profil/spieler/3639,"Celta de Vigo,Olympique Marsiglia"
8098,8098,6119,Celta de Vigo,Oskar Vales,24,Spagna,Terzino destro,TD,-,Athletic Bilbao,Spagna,Fine prestito30/giu/1999,Out,1990-99,e,laliga,https://www.transfermarkt.it/oskar-vales/profil/spieler/7625,"Celta de Vigo,Athletic Bilbao"
8099,8099,6120,Celta de Vigo,Jordi Cruyff,25,Olanda,Trequartista,TQ,-,Manchester United,Inghilterra,Fine prestito30/giu/1999,Out,1990-99,e,laliga,https://www.transfermarkt.it/jordi-cruyff/profil/spieler/7436,"Celta de Vigo,Manchester United"
8100,8100,6121,Real Valladolid CF,Júlio César,20,Brasile,Difensore centrale,DC,-,Real Madrid CF,Spagna,gratuito,Out,1990-99,e,laliga,https://www.transfermarkt.it/julio-cesar/profil/spieler/2943,"Real Valladolid CF,Real Madrid CF"
8103,8103,6124,Real Valladolid CF,Raúl Ibáñez,26,Spagna,Attacco,Attacco,-,Elche CF,Spagna,Prestito,Out,1990-99,e,laliga,https://www.transfermarkt.it/raul-ibanez/profil/spieler/187831,"Real Valladolid CF,Elche CF"
8107,8107,6128,Real Valladolid CF,Luis García,21,Spagna,Ala destra,AD,-,FC Barcellona,Spagna,Fine prestito30/giu/1999,Out,1990-99,e,laliga,https://www.transfermarkt.it/luis-garcia/profil/spieler/7920,"Real Valladolid CF,FC Barcellona"
8108,8108,6129,Rayo Vallecano,Iván Rosado,25,Spagna,Punta centrale,P,-,CA Osasuna,Spagna,gratuito,Out,1990-99,e,laliga,https://www.transfermarkt.it/ivan-rosado/profil/spieler/7744,"Rayo Vallecano,CA Osasuna"
8111,8111,6132,Rayo Vallecano,Tiago,23,Portogallo,Mediano,M,-,CD Tenerife,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/tiago/profil/spieler/9820,"Rayo Vallecano,CD Tenerife"
8112,8112,6133,Rayo Vallecano,Pablo Lago,24,Spagna,Centrale,CC,-,UD Las Palmas,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/pablo-lago/profil/spieler/7865,"Rayo Vallecano,UD Las Palmas"
8113,8113,6134,Rayo Vallecano,Juan Muñiz,30,Spagna,Difensore centrale,DC,-,CD Numancia,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/juan-muniz/profil/spieler/187836,"Rayo Vallecano,CD Numancia"
